race_no,race_name,driver,points
1,Bahrain Grand Prix,Max Verstappen,18
1,Bahrain Grand Prix,Lewis Hamilton,25
2,Emilia Romagna Grand Prix,Max Verstappen,43
2,Emilia Romagna Grand Prix,Lewis Hamilton,44
3,Portuguese Grand Prix,Max Verstappen,61
3,Portuguese Grand Prix,Lewis Hamilton,69
4,Spanish Grand Prix,Max Verstappen,80
4,Spanish Grand Prix,Lewis Hamilton,94
5,Monaco Grand Prix,Max Verstappen,105
5,Monaco Grand Prix,Lewis Hamilton,101
6,Azerbaijan Grand Prix,Max Verstappen,105
6,Azerbaijan Grand Prix,Lewis Hamilton,101
7,French Grand Prix,Max Verstappen,131
7,French Grand Prix,Lewis Hamilton,119
8,Styrian Grand Prix,Max Verstappen,156
8,Styrian Grand Prix,Lewis Hamilton,138
9,Austrian Grand Prix,Max Verstappen,182
9,Austrian Grand Prix,Lewis Hamilton,150
10,British Grand Prix,Max Verstappen,185
10,British Grand Prix,Lewis Hamilton,177
11,Hungarian Grand Prix,Max Verstappen,187
11,Hungarian Grand Prix,Lewis Hamilton,195
12,Belgian Grand Prix,Max Verstappen,199.5
12,Belgian Grand Prix,Lewis Hamilton,202.5
13,Dutch Grand Prix,Max Verstappen,224.5
13,Dutch Grand Prix,Lewis Hamilton,221.5
14,Italian Grand Prix,Max Verstappen,226.5
14,Italian Grand Prix,Lewis Hamilton,221.5
15,Russian Grand Prix,Max Verstappen,244.5
15,Russian Grand Prix,Lewis Hamilton,246.5
16,Turkish Grand Prix,Max Verstappen,262.5
16,Turkish Grand Prix,Lewis Hamilton,256.5
17,United States Grand Prix,Max Verstappen,287.5
17,United States Grand Prix,Lewis Hamilton,275.5
18,Mexican Grand Prix,Max Verstappen,312.5
18,Mexican Grand Prix,Lewis Hamilton,293.5
19,São Paulo Grand Prix,Max Verstappen,332.5
19,São Paulo Grand Prix,Lewis Hamilton,318.5
20,Qatar Grand Prix,Max Verstappen,351.5
20,Qatar Grand Prix,Lewis Hamilton,343.5
21,Saudi Arabian Grand Prix,Max Verstappen,369.5
21,Saudi Arabian Grand Prix,Lewis Hamilton,369.5
22,Abu Dhabi Grand Prix,Max Verstappen,395.5
22,Abu Dhabi Grand Prix,Lewis Hamilton,387.5
